;Edad Joven;Edad Viejo;Num.Sujs Joven;Num. Sujs Viejo;Separacion edad entre grupos;Num. Total Sujs;Porcentaje de Sujs Eliminados
0;menor a 34;mayor a 35;18;18;1;36;16.279069767441857
1;menor a 35;mayor a 36;18;18;1;36;16.279069767441857
2;menor a 36;mayor a 37;18;18;1;36;16.279069767441857
3;menor a 37;mayor a 38;18;18;1;36;16.279069767441857
4;menor a 38;mayor a 39;18;18;1;36;16.279069767441857
5;menor a 39;mayor a 40;18;18;1;36;16.279069767441857
6;menor a 40;mayor a 41;18;18;1;36;16.279069767441857
7;menor a 41;mayor a 42;19;17;1;36;16.279069767441857
8;menor a 42;mayor a 43;20;16;1;36;16.279069767441857
9;menor a 33;mayor a 35;14;18;2;32;25.581395348837212
10;menor a 34;mayor a 36;18;18;2;36;16.279069767441857
11;menor a 35;mayor a 37;18;18;2;36;16.279069767441857
12;menor a 36;mayor a 38;18;18;2;36;16.279069767441857
13;menor a 37;mayor a 39;18;18;2;36;16.279069767441857
14;menor a 38;mayor a 40;18;18;2;36;16.279069767441857
15;menor a 39;mayor a 41;18;18;2;36;16.279069767441857
16;menor a 40;mayor a 42;18;17;2;35;18.6046511627907
17;menor a 41;mayor a 43;19;16;2;35;18.6046511627907
18;menor a 33;mayor a 36;14;18;3;32;25.581395348837212
19;menor a 34;mayor a 37;18;18;3;36;16.279069767441857
20;menor a 35;mayor a 38;18;18;3;36;16.279069767441857
21;menor a 36;mayor a 39;18;18;3;36;16.279069767441857
22;menor a 37;mayor a 40;18;18;3;36;16.279069767441857
23;menor a 38;mayor a 41;18;18;3;36;16.279069767441857
24;menor a 39;mayor a 42;18;17;3;35;18.6046511627907
25;menor a 40;mayor a 43;18;16;3;34;20.93023255813954
26;menor a 41;mayor a 44;19;15;3;34;20.93023255813954
27;menor a 33;mayor a 37;14;18;4;32;25.581395348837212
28;menor a 34;mayor a 38;18;18;4;36;16.279069767441857
29;menor a 35;mayor a 39;18;18;4;36;16.279069767441857
30;menor a 36;mayor a 40;18;18;4;36;16.279069767441857
31;menor a 37;mayor a 41;18;18;4;36;16.279069767441857
32;menor a 38;mayor a 42;18;17;4;35;18.6046511627907
33;menor a 39;mayor a 43;18;16;4;34;20.93023255813954
34;menor a 40;mayor a 44;18;15;4;33;23.25581395348837
35;menor a 41;mayor a 45;19;15;4;34;20.93023255813954
36;menor a 33;mayor a 38;14;18;5;32;25.581395348837212
37;menor a 34;mayor a 39;18;18;5;36;16.279069767441857
38;menor a 35;mayor a 40;18;18;5;36;16.279069767441857
39;menor a 36;mayor a 41;18;18;5;36;16.279069767441857
40;menor a 37;mayor a 42;18;17;5;35;18.6046511627907
41;menor a 38;mayor a 43;18;16;5;34;20.93023255813954
42;menor a 39;mayor a 44;18;15;5;33;23.25581395348837
43;menor a 40;mayor a 45;18;15;5;33;23.25581395348837
44;menor a 33;mayor a 39;14;18;6;32;25.581395348837212
45;menor a 34;mayor a 40;18;18;6;36;16.279069767441857
46;menor a 35;mayor a 41;18;18;6;36;16.279069767441857
47;menor a 36;mayor a 42;18;17;6;35;18.6046511627907
48;menor a 37;mayor a 43;18;16;6;34;20.93023255813954
49;menor a 38;mayor a 44;18;15;6;33;23.25581395348837
50;menor a 39;mayor a 45;18;15;6;33;23.25581395348837
51;menor a 40;mayor a 46;18;14;6;32;25.581395348837212
52;menor a 33;mayor a 40;14;18;7;32;25.581395348837212
53;menor a 34;mayor a 41;18;18;7;36;16.279069767441857
54;menor a 35;mayor a 42;18;17;7;35;18.6046511627907
55;menor a 36;mayor a 43;18;16;7;34;20.93023255813954
56;menor a 37;mayor a 44;18;15;7;33;23.25581395348837
57;menor a 38;mayor a 45;18;15;7;33;23.25581395348837
58;menor a 39;mayor a 46;18;14;7;32;25.581395348837212
59;menor a 33;mayor a 41;14;18;8;32;25.581395348837212
60;menor a 34;mayor a 42;18;17;8;35;18.6046511627907
61;menor a 35;mayor a 43;18;16;8;34;20.93023255813954
62;menor a 36;mayor a 44;18;15;8;33;23.25581395348837
63;menor a 37;mayor a 45;18;15;8;33;23.25581395348837
64;menor a 38;mayor a 46;18;14;8;32;25.581395348837212
65;menor a 33;mayor a 42;14;17;9;31;27.906976744186053
66;menor a 34;mayor a 43;18;16;9;34;20.93023255813954
67;menor a 35;mayor a 44;18;15;9;33;23.25581395348837
68;menor a 36;mayor a 45;18;15;9;33;23.25581395348837
69;menor a 37;mayor a 46;18;14;9;32;25.581395348837212
70;menor a 34;mayor a 44;18;15;10;33;23.25581395348837
71;menor a 35;mayor a 45;18;15;10;33;23.25581395348837
72;menor a 36;mayor a 46;18;14;10;32;25.581395348837212
73;menor a 34;mayor a 45;18;15;11;33;23.25581395348837
74;menor a 35;mayor a 46;18;14;11;32;25.581395348837212
75;menor a 34;mayor a 46;18;14;12;32;25.581395348837212
